"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2,461754583E1;1,469791293E0;-4,664209366E0;-5,599802971E0
2,471754583E1;6,041877270E-1;1,220339537E-1;-3,274577856E0
2,481754583E1;3,361317635E0;-6,029912949E0;-6,826723099E0
2,491754583E1;4,666602135E0;-4,002593994E0;-4,433301926E0
2,501754583E1;1,214955688E0;-1,084905815E1;-8,523832321E0
2,511754583E1;2,137987137E0;-7,903493404E0;-5,254638672E0
2,521754583E1;4,383651257E0;-1,018983555E1;-4,639084816E0
2,531754583E1;2,896511793E0;-5,742774487E0;-5,866004944E0
2,541754583E1;3,220141172E0;-6,081358910E0;-7,518846989E0
2,551754583E1;1,253240824E0;-3,016751051E0;-2,929413080E0
2,561754583E1;4,438685894E0;-3,077768087E0;-5,970092297E0
2,571754583E1;3,313461065E0;-3,055634499E0;-6,125626087E0
2,581754583E1;4,203591347E0;-1,171705437E1;-7,069594383E0
2,591754583E1;8,315058798E-2;-8,185846329E0;-5,684150219E0
2,601754583E1;1,100698471E0;-7,785048485E0;-2,347358942E0
2,611754583E1;5,405984402E0;-1,082034397E1;-7,386045456E0
2,621754583E1;2,096112728E0;-4,351347923E0;-4,474578381E0
2,631754583E1;1,615753531E0;-9,373882413E-1;-7,357929707E0
2,641754583E1;2,690729141E0;-1,371685624E0;-6,149554253E0
2,651754583E1;2,593221426E0;-1,700698733E0;-6,397211552E0
2,661754583E1;5,862415314E0;-1,393938828E1;-7,432705402E0
2,671754583E1;-1,811366796E0;-8,958727837E0;-3,684348583E0
2,681754583E1;7,441678643E-1;-9,336195946E0;-8,753543854E0
2,691754583E1;3,940979004E0;-1,160339546E1;-5,770291805E0
2,701754583E1;5,110470772E0;-7,267600536E0;-6,601199627E0
2,711754583E1;1,305284739E0;-5,202594757E0;-7,054639339E0
2,721754583E1;9,050851464E-1;-5,138586521E0;-3,909872293E0
2,731754583E1;3,318845034E0;-7,848458290E-1;-6,129215240E0
2,741754583E1;1,562513232E0;-7,629515171E0;-9,875179291E0
2,751754583E1;2,480160713E0;-9,211769104E0;-7,768298626E0
2,761754583E1;2,718246460E0;-1,416431332E1;-1,014437199E1
2,771754583E1;4,115654945E0;-5,956932068E0;-5,880361795E-1
2,781754583E1;6,400800705E0;-1,088016415E1;-1,144008541E1
2,791754583E1;2,871387243E0;-2,743371248E0;-6,923632145E0
2,801754583E1;2,354537487E0;-3,089732170E0;-4,006781578E0
2,811754583E1;1,788036704E0;-1,639083475E-1;-6,587440968E0
2,821754583E1;3,777668715E0;-5,470590591E0;-7,264609337E0
2,831754583E1;4,928616524E0;-3,005983353E0;-6,784250259E0
2,841754583E1;2,196611166E0;-1,376889992E1;-7,655237675E0
2,851754583E1;-2,776272535E0;-2,373081923E0;-2,216351986E0
2,861754583E1;9,825528145E0;-1,230329609E1;-1,085922718E1
2,871754583E1;4,134199142E0;-6,683153629E0;-9,812367439E0
2,881754583E1;9,002995491E-1;-2,280958176E0;-5,894120216E0
