"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
2,684533028E1;-2,976799965E0;4,587199783E1;3,818599939E0
2,694533028E1;-7,112599850E0;4,482279968E1;7,466399670E0
2,704533028E1;-1,402999973E1;4,210219955E1;1,067500019E1
2,714533028E1;-1,945899963E1;3,979639816E1;1,178520012E1
2,724533028E1;-2,225279999E1;3,646579742E1;1,670179939E1
2,734533028E1;-1,800720024E1;3,728319931E1;2,006900024E1
2,744533028E1;-1,645779991E1;3,716119766E1;2,185019875E1
2,754533028E1;-1,492059994E1;3,640480042E1;2,427799988E1
2,764533028E1;-1,471319962E1;3,647800064E1;2,413159943E1
2,774533028E1;-8,832799911E0;4,290739822E1;1,614060020E1
2,784533028E1;-5,880399704E0;4,433480072E1;1,415199947E1
2,794533028E1;-5,245999813E0;4,540839767E1;8,881599426E0
2,804533028E1;-2,525399923E0;4,612820053E1;4,977600098E0
2,814533028E1;-1,402999997E0;4,666500092E1;4,721399784E0
2,824533028E1;-8,137399673E0;4,493259811E1;1,129720020E1
2,834533028E1;-1,527439976E1;4,295619965E1;1,318820000E1
2,844533028E1;-2,058139992E1;4,018679810E1;1,490839958E1
2,854533028E1;-2,016659927E1;3,958900070E1;1,964200020E1
2,864533028E1;-1,659199905E1;4,235839844E1;1,805599976E1
2,874533028E1;-1,745820045E1;4,188259888E1;1,872699928E1
2,884533028E1;-1,711660004E1;4,196799850E1;1,961759949E1
2,894533028E1;-1,392019939E1;4,413959885E1;1,794619942E1
2,904533028E1;-1,244399929E1;4,483499908E1;1,683600044E1
2,914533028E1;-1,195599937E1;4,655519867E1;1,289540005E1
2,924533028E1;-1,113859940E1;4,698220062E1;9,942999840E0
2,934533028E1;-1,057740021E1;4,814119720E1;5,685199738E0
2,944533028E1;-8,820599556E0;4,839739990E1;4,562799931E0
2,954533028E1;-7,258999825E0;4,900740051E1;2,440000057E0
2,964533028E1;-5,294799805E0;4,953199768E1;1,463999987E0
2,974533028E1;-3,245199919E0;4,927579880E1;2,805999815E-1
2,984533028E1;-2,549799919E0;4,881219864E1;1,402999997E0
2,994533028E1;-5,136199951E0;4,666500092E1;2,964599848E0
3,004533028E1;-1,087020016E1;4,260239792E1;-4,879999906E-2
3,014533028E1;-3,520919800E1;3,413560104E1;-2,683999836E-1
3,024533028E1;-3,866180038E1;3,060980034E1;1,546959972E1
3,034533028E1;-3,365979767E1;2,867000008E1;2,737679863E1
3,044533028E1;-2,633979988E1;2,626659966E1;3,440399933E1
3,054533028E1;-1,917840004E1;2,849919891E1;3,536779785E1
3,064533028E1;-1,975180054E1;3,448939896E1;2,784039879E1
3,074533028E1;-1,871479988E1;3,914979935E1;2,171599960E1
3,084533028E1;-1,600639915E1;4,221199799E1;1,733619881E1
3,094533028E1;-1,392019939E1;4,479840088E1;1,154119968E1
3,104533028E1;-1,222439957E1;4,610379791E1;7,515199661E0
3,114533028E1;-1,082139969E1;4,704319763E1;8,186200142E0
3,124533028E1;-1,356639957E1;4,909280014E1;1,176079941E1
3,134533028E1;9,979599953E0;6,481859589E1;5,405820084E1
3,144533028E1;1,313939953E1;5,017860031E1;2,193560028E1
3,154533028E1;-1,138259983E1;3,641699982E1;1,183399963E1
3,164533028E1;-1,766559982E1;3,289120102E1;1,621380043E1
3,174533028E1;-1,707999992E1;2,952400017E1;2,378999901E1
3,184533028E1;-1,758020020E1;3,128079987E1;2,138660049E1
3,194533028E1;-1,728739929E1;3,450159836E1;1,584779930E1
3,204533028E1;-1,232199955E1;3,866180038E1;9,381799698E0
3,214533028E1;-8,186200142E0;4,179719925E1;-1,708000004E-1
3,224533028E1;-5,209399700E0;4,194359970E1;-3,013399839E0
3,234533028E1;-2,354599953E0;4,224860001E1;-4,538399696E0
3,244533028E1;-2,171599865E0;4,249259949E1;-4,806799889E0
3,254533028E1;-1,262699986E1;4,171179962E1;5,526599884E0
3,264533028E1;-1,826339912E1;3,916199875E1;8,052000046E0
3,274533028E1;-2,070339966E1;3,603879929E1;1,616499901E1
3,284533028E1;-1,853179932E1;3,518479919E1;2,061800003E1
3,294533028E1;-1,553059959E1;3,396479797E1;2,454640007E1
3,304533028E1;-1,549399948E1;3,370859909E1;2,525399971E1
3,314533028E1;-1,639679909E1;3,630719757E1;1,999580002E1
3,324533028E1;-1,352979946E1;4,126039886E1;1,202919960E1
3,334533028E1;-8,064199448E0;4,406639862E1;3,342799902E0
3,344533028E1;-5,977999687E0;4,455439758E1;-4,147999883E-1
3,354533028E1;-3,049999952E0;4,450559998E1;-1,805599928E0
3,364533028E1;-4,086999893E0;4,443239975E1;-2,269199848E0
3,374533028E1;-1,588439941E1;4,079679871E1;6,136600018E0
3,384533028E1;-2,105719948E1;3,783219910E1;9,052399635E0
3,394533028E1;-2,336299896E1;3,436740112E1;1,439599991E1
3,404533028E1;-2,210639954E1;3,413560104E1;1,668959999E1
3,414533028E1;-2,002019882E1;3,197620010E1;2,233819962E1
3,424533028E1;-1,952000046E1;3,225679779E1;2,200880051E1
3,434533028E1;-1,949559975E1;3,574599838E1;1,494499969E1
3,444533028E1;-1,444479942E1;4,055279922E1;6,368400097E0
3,454533028E1;-9,296400070E0;4,241939926E1;-2,500999928E0
3,464533028E1;-6,502599716E0;4,267559814E1;-5,855999947E0
3,474533028E1;-4,697000027E0;4,272439957E1;-6,966199875E0
3,484533028E1;-4,989799976E0;4,274879837E1;-7,112599850E0
3,494533028E1;-1,483519936E1;4,028440094E1;3,440399885E0
3,504533028E1;-1,970299911E1;3,680739975E1;8,344799995E0
3,514533028E1;-2,072780037E1;3,376959991E1;1,517679977E1
3,524533028E1;-1,933699989E1;3,373299789E1;1,758020020E1
3,534533028E1;-1,773880005E1;3,162240028E1;2,286279869E1
3,544533028E1;-1,664080048E1;3,270819855E1;2,217959976E1
3,554533028E1;-1,653100014E1;3,529459763E1;1,675059891E1
3,564533028E1;-1,306619930E1;3,930839920E1;1,013819981E1
3,574533028E1;-8,783999443E0;4,179719925E1;5,489999652E-1
3,584533028E1;-5,172800064E0;4,233399963E1;-2,073999882E0
3,594533028E1;-3,842999935E0;4,219979858E1;-3,806399822E0
3,604533028E1;-5,160599709E0;4,205339813E1;-2,391200066E0
3,614533028E1;-1,688479996E1;3,853979874E1;6,514800072E0
3,624533028E1;-2,126459885E1;3,480659866E1;1,180959988E1
3,634533028E1;-2,158180046E1;3,246419907E1;1,666519928E1
3,644533028E1;-2,030080032E1;3,280579758E1;1,770219994E1
3,654533028E1;-1,917840004E1;3,043899918E1;2,252120018E1
