"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
3,239288625E1;1,877767563E0;-1,184626675E1;-1,229910851E0
3,249288625E1;-6,003592014E0;-1,471645737E1;2,185843468E0
3,259288625E1;5,126622319E-1;-1,067258739E1;2,378465652E0
3,269288625E1;-2,922832966E0;-2,519642353E0;2,431107759E0
3,279288625E1;-2,852244616E0;-5,155336380E0;-8,303094506E-1
3,289288625E1;4,511068821E0;-1,012702370E1;-4,468596458E0
3,299288625E1;-1,573280841E-1;-1,657867241E1;-1,749751568E0
3,309288625E1;-2,011167526E0;-1,235414314E1;4,001397610E0
3,319288625E1;-7,597211748E-2;-1,111705399E1;-8,985049129E-1
3,329288625E1;-8,871390224E-1;-7,350750923E0;1,488933921E0
3,339288625E1;-2,501696110E0;-8,851649284E0;-4,301098585E-1
3,349288625E1;1,338186026E0;-1,084128094E1;1,710269928E0
3,359288625E1;2,033899277E-1;-1,255334568E1;-1,460219979E0
3,369288625E1;-5,799603939E0;-1,554497242E1;2,007578135E0
3,379288625E1;-3,888336897E0;-1,228534985E1;-2,057827473E0
3,389288625E1;-1,542174220E0;-3,320639610E0;9,337990284E-1
3,399288625E1;-1,393819213E0;-2,785843849E0;-4,857429862E-1
3,409288625E1;3,563511133E0;-1,029870892E1;-5,553143024E0
3,419288625E1;1,521237016E0;-1,298525047E1;-2,039881229E0
3,429288625E1;-2,031506538E0;-9,409176826E0;4,202992916E0
3,439288625E1;-2,380858511E-1;-1,395135212E1;1,465603858E-1
3,449288625E1;-5,204389244E-2;-7,387839794E0;1,709671736E0
3,459288625E1;-1,484148264E0;-8,694919586E0;2,961117923E-1
3,469288625E1;1,096511006E0;-1,137009525E1;1,743769526E0
3,479288625E1;1,429711580E-1;-1,252822113E1;-1,303490162E0
3,489288625E1;-3,953541279E0;-1,711585999E1;3,860819340E0
3,499288625E1;-4,546362907E-2;-8,444869041E0;1,329811215E0
3,509288625E1;-2,944966555E0;-1,893320918E0;2,145165443E0
3,519288625E1;6,323033810E0;-1,470628834E1;-6,602993965E0
3,529288625E1;3,148954630E0;-8,897710800E0;-5,518447399E0
3,539288625E1;-4,159922123E0;-1,150110245E1;-1,270588875E0
3,549288625E1;-1,911267042E0;-7,797610760E0;5,994618893E0
3,559288625E1;5,970092416E-1;-9,253045082E0;9,224331379E-1
3,569288625E1;-2,006381750E0;-7,833503246E0;1,124028444E0
3,579288625E1;1,406979680E0;-9,363713264E0;6,245267391E-1
3,589288625E1;3,487538993E-1;-1,127079296E1;6,281159520E-1
3,599288625E1;5,491527915E-1;-1,172961617E1;-1,298106313E-1
3,609288625E1;-7,023532867E0;-1,626461411E1;3,315255880E0
3,619288625E1;1,023529887E0;-8,727222443E0;5,395814776E-1
3,629288625E1;-2,262413740E0;-2,747558594E0;2,108076811E0
3,639288625E1;5,777470112E0;-1,326521015E1;-6,184848309E0
3,649288625E1;3,891327858E0;-1,106261730E1;-4,814359188E0
3,659288625E1;-4,073780537E0;-1,164526939E1;-1,913061738E0
3,669288625E1;-9,266205430E-1;-7,744968891E0;4,727619171E0
3,679288625E1;6,287141442E-1;-1,020179939E1;-8,865407705E-1
3,689288625E1;2,392822690E-2;-7,707281590E0;2,457428932E0
3,699288625E1;-8,763712645E-1;-9,425926208E0;3,774677813E-1
3,709288625E1;1,023529887E0;-1,068814087E1;7,196413875E-1
3,719288625E1;6,089733839E-1;-1,226620674E1;-1,117448211E0
3,729288625E1;-6,643671989E0;-1,557189178E1;3,191427231E0
3,739288625E1;1,668993831E0;-1,026999474E1;9,714859724E-1
3,749288625E1;-2,587837696E0;-2,574677229E0;8,027920127E-1
3,759288625E1;2,925225735E0;-1,180917835E1;-6,237490654E0
3,769288625E1;1,913061738E0;-8,920442581E0;-4,782055855E0
