"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2,955750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,965750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,975750799E1;1,794027209E0;-1,899407387E0;-1,020395994E0
2,985750799E1;1,794027209E0;-1,899407387E0;-1,020395994E0
2,995750799E1;-1,951898336E-1;-1,333336830E0;5,794346333E-1
3,005750799E1;-2,180327415E0;-2,134407997E0;-2,663292885E-1
3,015750799E1;-3,318837881E-1;1,827568054E0;8,344283104E-1
3,025750799E1;9,881751537E-1;4,675489426E0;-4,728126526E-2
3,035750799E1;4,188235998E-1;-1,054454803E0;8,784613609E-1
3,045750799E1;-1,926405907E0;-2,301755905E0;-6,801866055E0
3,055750799E1;-7,463187695E0;6,923913002E0;6,443652630E0
3,065750799E1;1,149882197E0;-1,351588249E0;8,718593121E-1
3,075750799E1;1,286163807E0;1,288337708E-1;-1,931047678E0
3,085750799E1;6,009538174E-1;-2,281856537E-2;9,579397440E-1
3,095750799E1;-2,356674671E-1;-3,391361237E-1;-1,863809943E0
3,105750799E1;3,263090611E0;-2,168286324E0;-1,248204708E0
3,115750799E1;2,154970646E0;-2,545744896E0;-2,791901112E0
3,125750799E1;2,381301165E0;-2,899184227E0;8,019633293E-1
3,135750799E1;-5,122682095E0;-3,745832443E0;-1,180337906E0
3,145750799E1;-2,193404675E0;2,123709679E0;1,067085028E0
3,155750799E1;-3,420202494E0;7,741641045E0;2,891730785E0
3,165750799E1;6,996280193E0;-7,390938759E0;-5,299577713E0
3,175750799E1;2,350569963E0;4,746278286E0;1,249647141E-2
3,185750799E1;-8,659220695E0;7,073799133E0;5,741090775E-1
3,195750799E1;-9,294240475E-1;-6,427181244E0;4,262660503E0
3,205750799E1;2,755500793E0;8,902511597E-1;-2,007257938E0
3,215750799E1;1,102979898E0;1,075063705E0;-1,671549797E0
3,225750799E1;4,001523018E0;-1,197200775E0;8,753616810E-1
3,235750799E1;1,317308664E0;-3,155645370E0;-2,289899111E0
3,245750799E1;5,586703777E0;-1,942893982E0;-5,477982759E-2
3,255750799E1;-6,319076061E0;-3,242792130E0;1,459277034E0
3,265750799E1;1,724192619E0;-8,254194260E-1;-3,783851862E-1
3,275750799E1;-4,585883141E0;8,307273865E0;4,999835014E0
3,285750799E1;2,054270506E0;-2,532078743E0;-4,636110306E0
3,295750799E1;4,075216770E0;3,462867737E-1;-4,316267014E0
3,305750799E1;-8,552036285E0;6,553014755E0;5,117898941E0
3,315750799E1;-3,526491225E-1;-5,796889305E0;4,157258511E0
3,325750799E1;2,969902515E0;2,497596741E-1;6,407007575E-1
3,335750799E1;7,371331453E-1;2,000884056E0;-5,785466433E-1
3,345750799E1;2,047703028E0;-1,984377861E0;-5,184336662E0
3,355750799E1;4,110845566E0;-2,051637650E0;-1,196985483E0
3,365750799E1;4,877388954E0;-2,657221794E0;-1,922241688E0
3,375750799E1;-7,011158466E0;-7,460525513E0;5,402618408E0
3,385750799E1;3,586030006E0;-4,694070816E-1;5,947298050E0
3,395750799E1;-3,155402899E0;7,904473305E0;3,889679909E0
3,405750799E1;1,064807415E0;1,027173042E0;-2,898310423E0
3,415750799E1;1,505892277E0;2,415241241E0;-1,972653627E0
3,425750799E1;-5,703959942E0;-2,960742950E0;9,801080227E-1
3,435750799E1;-5,911307931E-1;-1,920393944E0;3,496536970E0
3,445750799E1;3,419361591E0;9,080753326E-1;-1,863492131E0
3,455750799E1;1,694193602E0;2,312122822E0;6,700062752E-2
3,465750799E1;1,210537791E0;-1,555367470E0;-5,982143402E0
3,475750799E1;4,546960354E0;-3,236313820E0;-9,991862774E-1
3,485750799E1;5,126264572E0;-1,393038750E0;-3,857939243E0
3,495750799E1;-4,764028072E0;-8,487242699E0;8,009697914E0
3,505750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,515750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,525750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,535750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,545750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,555750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,565750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,575750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,585750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,595750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,605750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,615750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,625750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,635750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,645750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,655750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,665750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,675750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,685750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,695750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,705750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,715750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,725750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,735750799E1;3,361613274E0;-1,894246101E0;4,367979050E0
3,745750799E1;-3,767900467E0;7,921603680E0;5,097316742E0
3,755750799E1;-3,767900467E0;7,921603680E0;5,097316742E0
3,765750799E1;2,718861103E0;2,554397583E-1;9,531018734E-1
3,775750799E1;-3,940618515E0;-6,605861664E0;5,334707260E0
3,785750799E1;-1,537010670E0;2,150724411E0;7,509836674E0
3,795750799E1;1,004841805E0;-2,976272583E0;-5,185274601E0
3,805750799E1;1,170268774E0;2,862080097E0;1,423280239E0
3,815750799E1;-3,735337257E-1;-5,148277283E-1;-3,911967754E0
3,825750799E1;4,351140976E0;-1,157558441E0;-1,093030930E0
3,835750799E1;5,989815712E0;-3,429023743E0;-3,024609089E0
3,845750799E1;-7,984737396E0;-7,593256950E0;1,420436144E0
3,855750799E1;8,615390062E-1;-1,846203804E0;2,168368101E0
3,865750799E1;-3,718998432E0;6,656871796E0;4,228586197E0
3,875750799E1;-3,460422993E0;4,256896496E0;1,451782107E0
3,885750799E1;4,214784622E0;-4,395128250E0;-3,447981358E0
3,895750799E1;-2,255439043E0;-2,439044952E0;-1,235395670E0
3,905750799E1;-4,787174225E0;4,414723873E0;2,452887535E0
3,915750799E1;1,075350761E0;-3,516843796E0;4,608748853E-1
3,925750799E1;2,878086567E0;1,302694321E0;2,330888748E0
3,935750799E1;-2,476410866E-1;6,555080414E-2;-2,690454721E0
3,945750799E1;3,814053535E0;-1,466491699E0;2,470819950E-1
3,955750799E1;3,940910101E0;-3,871385574E0;-1,325832605E0
