"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
1,918931654E2;5,201813063E1;5,089602200E0;3,587106408E0;5,803014278E0;2,720816650E2;5,741444588E0;3,139415026E0
1,928931494E2;5,201813582E1;5,089511615E0;2,965246178E0;5,965341568E0;2,748848572E2;5,716619968E0;3,083805323E0
1,938931774E2;5,201814817E1;5,089420076E0;2,395846193E0;6,337641239E0;2,805153198E2;5,717570305E0;3,114866972E0
1,948940544E2;5,201816430E1;5,089325414E0;2,036103515E0;6,530879498E0;2,823642578E2;5,718527794E0;3,138361454E0
1,958931814E2;5,201818069E1;5,089230395E0;1,529493049E0;6,547586441E0;2,827626343E2;5,719485760E0;3,096861601E0
1,968931924E2;5,201819719E1;5,089132515E0;1,647669736E0;6,598492146E0;2,831141968E2;5,746525764E0;3,122550011E0
1,978932134E2;5,201821409E1;5,089035585E0;1,609189905E0;6,821462631E0;2,827493286E2;6,782756329E0;3,346322298E0
1,988932434E2;5,201823292E1;5,088933801E0;1,478394407E0;6,993333817E0;2,820144348E2;1,171632767E1;3,451663733E0
2,038933374E2;5,201831603E1;5,088469789E0;4,427860012E-1;6,716443062E0;2,868337402E2;1,638827133E1;5,546265602E0
2,048933244E2;5,201833775E1;5,088353664E0;5,143311689E-1;6,529241085E0;2,865707397E2;1,086607742E1;5,473632336E0
2,058936124E2;5,201836569E1;5,088238206E0;8,973387656E-1;6,261270046E0;2,854837952E2;5,651330471E0;4,968845844E0
2,068933744E2;5,201838568E1;5,088154597E0;9,970569167E-1;5,912926674E0;2,877137756E2;6,711495399E0;4,659453392E0
2,078934114E2;5,201840164E1;5,088074280E0;1,380494888E0;5,912129879E0;2,867891846E2;6,561460495E0;4,347222328E0
2,088934384E2;5,201841328E1;5,087988436E0;8,768338135E-1;5,574275494E0;2,835668030E2;5,375764847E0;3,917212963E0
2,098935024E2;5,201842254E1;5,087911128E0;7,271471602E-1;5,391351700E0;2,833912964E2;5,741108894E0;3,773000717E0
2,108934724E2;5,201843047E1;5,087844444E0;1,421957869E0;4,845720291E0;2,796117859E2;7,348878384E0;3,752367258E0
2,118935074E2;5,201843968E1;5,087772228E0;1,471607626E0;4,828544617E0;2,809049072E2;9,020837784E0;3,715264320E0
2,128934804E2;5,201844343E1;5,087697764E0;1,587136026E0;4,761023521E0;2,779421997E2;8,355332375E0;3,723469257E0
