"Time (s)";"Illuminance (lx)"
1,156776223E3;1,586900024E2
1,156876223E3;1,586900024E2
1,156976223E3;1,586900024E2
1,157076223E3;1,586900024E2
1,157176223E3;1,586900024E2
1,157276223E3;1,586900024E2
1,157376223E3;1,586900024E2
1,157476223E3;1,586900024E2
1,157576223E3;1,586900024E2
1,157676223E3;1,586900024E2
1,157776223E3;1,586900024E2
1,157876223E3;1,586900024E2
1,157976223E3;1,586900024E2
1,158076223E3;1,586900024E2
1,158176223E3;1,586900024E2
1,158276223E3;1,586900024E2
1,158376223E3;1,586900024E2
1,158476223E3;1,586900024E2
1,158576223E3;1,586900024E2
1,158676223E3;1,586900024E2
1,158776223E3;1,586900024E2
1,158876223E3;1,586900024E2
1,158976223E3;1,586900024E2
1,159076223E3;1,586900024E2
1,159176223E3;1,586900024E2
1,159276223E3;1,586900024E2
1,159376223E3;1,586900024E2
1,159476223E3;1,586900024E2
1,159576223E3;1,586900024E2
1,159676223E3;1,586900024E2
1,159776223E3;1,586900024E2
1,159876223E3;1,586900024E2
1,159976223E3;1,586900024E2
1,160076223E3;1,586900024E2
1,160176223E3;1,586900024E2
1,160276223E3;1,586900024E2
1,160376223E3;1,586900024E2
1,160476223E3;1,586900024E2
1,160576223E3;1,586900024E2
1,160676223E3;1,586900024E2
1,160776223E3;1,586900024E2
1,160876223E3;1,586900024E2
1,160976223E3;1,586900024E2
1,161076223E3;1,586900024E2
1,161176223E3;1,586900024E2
1,161276223E3;1,586900024E2
1,161376223E3;1,586900024E2
1,161476223E3;1,586900024E2
1,161576223E3;1,586900024E2
1,161676223E3;1,586900024E2
1,161776223E3;1,586900024E2
1,161876223E3;1,586900024E2
1,161976223E3;1,586900024E2
1,162076223E3;1,586900024E2
1,162176223E3;1,586900024E2
1,162276223E3;1,586900024E2
1,162376223E3;1,586900024E2
1,162476223E3;1,586900024E2
1,162576223E3;1,586900024E2
1,162676223E3;1,586900024E2
1,162776223E3;1,586900024E2
1,162876223E3;1,586900024E2
1,162976223E3;1,586900024E2
1,163076223E3;1,586900024E2
1,163176223E3;1,586900024E2
1,163276223E3;1,586900024E2
1,163376223E3;1,586900024E2
1,163476223E3;1,405975037E2
1,163576223E3;1,405975037E2
1,163676223E3;1,405975037E2
1,163776223E3;1,405975037E2
1,163876223E3;1,405975037E2
1,163976223E3;1,405975037E2
1,164076223E3;1,405975037E2
1,164176223E3;1,405975037E2
1,164276223E3;1,405975037E2
1,164376223E3;1,405975037E2
1,164476223E3;1,405975037E2
1,164576223E3;1,405975037E2
1,164676223E3;1,405975037E2
1,164776223E3;1,405975037E2
1,164876223E3;1,405975037E2
1,164976223E3;1,405975037E2
1,165076223E3;1,405975037E2
1,165176223E3;1,405975037E2
1,165276223E3;1,405975037E2
1,165376223E3;1,405975037E2
1,165476223E3;1,405975037E2
1,165576223E3;1,405975037E2
1,165676223E3;1,405975037E2
1,165776223E3;1,405975037E2
1,165876223E3;1,405975037E2
1,165976223E3;1,405975037E2
1,166076223E3;1,405975037E2
1,166176223E3;1,405975037E2
1,166276223E3;1,405975037E2
1,166376223E3;1,405975037E2
1,166476223E3;1,405975037E2
1,166576223E3;1,405975037E2
1,166676223E3;1,405975037E2
1,166776223E3;1,405975037E2
1,166876223E3;1,405975037E2
1,166976223E3;1,405975037E2
1,167076223E3;1,405975037E2
1,167176223E3;1,405975037E2
1,167276223E3;1,405975037E2
1,167376223E3;1,405975037E2
1,167476223E3;1,405975037E2
1,167576223E3;1,405975037E2
1,167676223E3;1,405975037E2
1,167776223E3;1,405975037E2
1,167876223E3;1,405975037E2
1,167976223E3;1,405975037E2
1,168076223E3;1,405975037E2
1,168176223E3;1,405975037E2
1,168276223E3;1,405975037E2
1,168376223E3;1,405975037E2
1,168476223E3;1,405975037E2
1,168576223E3;1,405975037E2
1,168676223E3;1,405975037E2
1,168776223E3;1,405975037E2
1,168876223E3;1,405975037E2
1,168976223E3;1,405975037E2
1,169076223E3;1,405975037E2
1,169176223E3;1,405975037E2
1,169276223E3;1,405975037E2
1,169376223E3;1,405975037E2
1,169476223E3;1,405975037E2
1,169576223E3;1,405975037E2
1,169676223E3;1,405975037E2
1,169776223E3;1,405975037E2
1,169876223E3;1,405975037E2
1,169976223E3;1,405975037E2
1,170076223E3;1,405975037E2
1,170176223E3;1,405975037E2
1,170276223E3;1,405975037E2
1,170376223E3;1,405975037E2
1,170476223E3;1,405975037E2
1,170576223E3;1,405975037E2
1,170676223E3;1,405975037E2
1,170776223E3;1,405975037E2
1,170876223E3;1,405975037E2
1,170976223E3;1,405975037E2
1,171076223E3;1,405975037E2
1,171176223E3;1,405975037E2
1,171276223E3;1,405975037E2
1,171376223E3;1,405975037E2
1,171476223E3;1,405975037E2
1,171576223E3;1,405975037E2
1,171676223E3;1,405975037E2
1,171776223E3;1,405975037E2
1,171876223E3;1,405975037E2
1,171976223E3;1,405975037E2
1,172076223E3;1,405975037E2
1,172176223E3;1,405975037E2
1,172276223E3;1,405975037E2
1,172376223E3;1,405975037E2
1,172476223E3;1,405975037E2
1,172576223E3;1,405975037E2
1,172676223E3;1,405975037E2
1,172776223E3;1,405975037E2
1,172876223E3;1,405975037E2
1,172976223E3;1,405975037E2
1,173076223E3;1,405975037E2
1,173176223E3;1,405975037E2
1,173276223E3;1,405975037E2
1,173376223E3;1,405975037E2
1,173476223E3;1,405975037E2
1,173576223E3;1,405975037E2
1,173676223E3;1,405975037E2
1,173776223E3;1,405975037E2
1,173876223E3;1,405975037E2
1,173976223E3;1,405975037E2
1,174076223E3;1,405975037E2
1,174176223E3;1,405975037E2
1,174276223E3;1,405975037E2
1,174376223E3;1,405975037E2
1,174476223E3;1,405975037E2
1,174576223E3;1,405975037E2
1,174676223E3;1,405975037E2
1,174776223E3;1,405975037E2
1,174876223E3;1,405975037E2
1,174976223E3;1,405975037E2
1,175076223E3;1,405975037E2
1,175176223E3;1,405975037E2
1,175276223E3;1,405975037E2
1,175376223E3;1,405975037E2
1,175476223E3;1,405975037E2
1,175576223E3;1,405975037E2
1,175676223E3;1,405975037E2
1,175776223E3;1,405975037E2
1,175876223E3;1,405975037E2
1,175976223E3;1,405975037E2
1,176076223E3;1,405975037E2
1,176176223E3;1,405975037E2
1,176276223E3;1,405975037E2
1,176376223E3;1,405975037E2
1,176476223E3;1,405975037E2
1,176576223E3;1,405975037E2
1,176676223E3;1,405975037E2
1,176776223E3;1,405975037E2
1,176876223E3;1,405975037E2
1,176976223E3;1,405975037E2
1,177076223E3;1,405975037E2
1,177176223E3;1,405975037E2
1,177276223E3;1,405975037E2
1,177376223E3;1,405975037E2
1,177476223E3;1,405975037E2
1,177576223E3;1,405975037E2
1,177676223E3;1,405975037E2
1,177776223E3;1,405975037E2
1,177876223E3;1,405975037E2
1,177976223E3;1,405975037E2
1,178076223E3;1,405975037E2
1,178176223E3;1,405975037E2
1,178276223E3;1,405975037E2
1,178376223E3;1,405975037E2
1,178476223E3;1,405975037E2
1,178576223E3;1,405975037E2
1,178676223E3;1,405975037E2
1,178776223E3;1,405975037E2
1,178876223E3;1,405975037E2
1,178976223E3;1,405975037E2
1,179076223E3;1,405975037E2
1,179176223E3;1,405975037E2
1,179276223E3;1,405975037E2
1,179376223E3;1,405975037E2
1,179476223E3;1,405975037E2
1,179576223E3;1,405975037E2
1,179676223E3;1,405975037E2
1,179776223E3;1,405975037E2
1,179876223E3;1,405975037E2
1,179976223E3;1,405975037E2
1,180076223E3;1,405975037E2
1,180176223E3;1,405975037E2
1,180276223E3;1,405975037E2
1,180376223E3;1,405975037E2
1,180476223E3;1,405975037E2
1,180576223E3;1,405975037E2
1,180676223E3;1,405975037E2
1,180776223E3;1,405975037E2
1,180876223E3;1,405975037E2
1,180976223E3;1,405975037E2
1,181076223E3;1,405975037E2
1,181176223E3;1,405975037E2
1,181276223E3;1,405975037E2
1,181376223E3;1,405975037E2
1,181476223E3;1,405975037E2
1,181576223E3;1,405975037E2
1,181676223E3;1,405975037E2
1,181776223E3;1,405975037E2
1,181876223E3;1,405975037E2
1,181976223E3;1,405975037E2
1,182076223E3;1,405975037E2
1,182176223E3;1,405975037E2
1,182276223E3;1,405975037E2
1,182376223E3;1,405975037E2
