"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
3,002939150E1;-1,622111969E2;-1,181325989E2;-3,069275818E2
3,012936114E1;-1,614181976E2;-1,239641953E2;-3,042313843E2
3,022937185E1;-1,600029907E2;-1,313208008E2;-2,977897949E2
3,032936192E1;-1,567944031E2;-1,385065918E2;-2,896645813E2
3,042943602E1;-1,530856018E2;-1,421909943E2;-2,784161987E2
3,052939179E1;-1,483519897E2;-1,448383942E2;-2,681560059E2
3,062940693E1;-1,437648010E2;-1,462657928E2;-2,580787964E2
3,072939924E1;-1,379942017E2;-1,470709991E2;-2,478795929E2
3,082937206E1;-1,317599945E2;-1,473150024E2;-2,373265991E2
3,092940104E1;-1,266359940E2;-1,451921997E2;-2,281156006E2
3,102942932E1;-1,222805939E2;-1,402511902E2;-2,229306030E2
3,112939140E1;-1,193404007E2;-1,366643982E2;-2,215397949E2
3,122938790E1;-1,173761978E2;-1,335167999E2;-2,225279999E2
3,132936532E1;-1,153509979E2;-1,295395966E2;-2,219911957E2
3,142938364E1;-1,143750000E2;-1,270751953E2;-2,219057922E2
3,152940895E1;-1,147775955E2;-1,252817993E2;-2,227964020E2
3,162940814E1;-1,142285995E2;-1,246839981E2;-2,206125946E2
3,172939239E1;-1,129353943E2;-1,256477966E2;-2,188191986E2
3,182937181E1;-1,116421967E2;-1,268555984E2;-2,193804016E2
3,192940037E1;-1,108979950E2;-1,283074036E2;-2,190265961E2
3,202939252E1;-1,103002014E2;-1,287588043E2;-2,198683929E2
3,212940746E1;-1,095071945E2;-1,296860046E2;-2,219301910E2
3,222940681E1;-1,077015991E2;-1,291369934E2;-2,225767975E2
3,232937035E1;-1,072745972E2;-1,273679962E2;-2,248215942E2
3,242938313E1;-1,059203949E2;-1,257088013E2;-2,254315948E2
3,252940906E1;-1,060179977E2;-1,240008011E2;-2,265905914E2
3,262938794E1;-1,058715973E2;-1,233419952E2;-2,278837891E2
3,272939413E1;-1,050663986E2;-1,221097946E2;-2,279691925E2
3,282936980E1;-1,048955994E2;-1,210606003E2;-2,282131958E2
3,292938245E1;-1,055177994E2;-1,193404007E2;-2,283961945E2
3,302941000E1;-1,054323959E2;-1,178641968E2;-2,286401978E2
3,312940752E1;-1,051884003E2;-1,173517990E2;-2,290184021E2
3,322943764E1;-1,047613983E2;-1,172663956E2;-2,294819946E2
3,332935276E1;-1,042246017E2;-1,170102005E2;-2,300431976E2
3,342939724E1;-1,057984009E2;-1,155950012E2;-2,340204010E2
3,352939236E1;-1,059813995E2;-1,117763977E2;-2,374608002E2
3,362939293E1;-1,071525955E2;-1,086897964E2;-2,382659912E2
3,372939818E1;-1,069695969E2;-1,058227997E2;-2,385587921E2
3,382936482E1;-1,072136002E2;-1,045418015E2;-2,365457916E2
3,392938382E1;-1,071403961E2;-1,048955994E2;-2,337276001E2
3,402940775E1;-1,075917969E2;-1,071159973E2;-2,321903992E2
3,412943135E1;-1,080431976E2;-1,093119965E2;-2,295673981E2
3,422939254E1;-1,090435944E2;-1,102757950E2;-2,290428009E2
3,432936418E1;-1,097633972E2;-1,116177979E2;-2,269199982E2
3,442939852E1;-1,115933990E2;-1,124473953E2;-2,272005920E2
3,452939246E1;-1,117641983E2;-1,135209961E2;-2,251510010E2
3,462937184E1;-1,128134003E2;-1,137771988E2;-2,269931946E2
3,472940712E1;-1,119959946E2;-1,155705948E2;-2,234552002E2
3,482936395E1;-1,109346008E2;-1,169247971E2;-2,229550018E2
3,492939768E1;-1,085189972E2;-1,186083984E2;-2,224547882E2
3,502938059E1;-1,071525955E2;-1,200723953E2;-2,225889893E2
3,512936733E1;-1,059570007E2;-1,210849991E2;-2,223815918E2
3,522937991E1;-1,060057983E2;-1,201943970E2;-2,248338013E2
3,532936408E1;-1,049687958E2;-1,204140015E2;-2,268468018E2
3,542937515E1;-1,030655975E2;-1,200113983E2;-2,264319916E2
3,552941059E1;-1,023580017E2;-1,205115967E2;-2,259683990E2
3,562940750E1;-1,021383972E2;-1,202431946E2;-2,260293884E2
3,572939367E1;-1,021261978E2;-1,202065964E2;-2,275909882E2
3,582936963E1;-1,012599945E2;-1,213778000E2;-2,264441986E2
3,592939775E1;-1,008208008E2;-1,226709976E2;-2,264075928E2
3,602940284E1;-1,012233963E2;-1,225733948E2;-2,287865906E2
3,612940711E1;-1,004425964E2;-1,217071991E2;-2,292014008E2
3,622937558E1;-1,000765991E2;-1,209995956E2;-2,291647949E2
3,632935894E1;-9,763659668E1;-1,219389954E2;-2,273957977E2
3,642938336E1;-9,556259918E1;-1,254891968E2;-2,251510010E2
3,652940732E1;-9,385459900E1;-1,282951965E2;-2,210273895E2
3,662939435E1;-9,067039490E1;-1,272947998E2;-2,188069916E2
3,672940379E1;-9,163420105E1;-1,227441940E2;-2,204783936E2
3,682936941E1;-9,353739929E1;-1,212435989E2;-2,214055939E2
3,692942296E1;-9,513559723E1;-1,218292007E2;-2,224669952E2
3,702939314E1;-9,483059692E1;-1,220975952E2;-2,230281982E2
3,712940933E1;-9,457440186E1;-1,230003967E2;-2,239675903E2
3,722937170E1;-9,392779541E1;-1,244033966E2;-2,246873932E2
3,732938199E1;-9,396440125E1;-1,251110001E2;-2,251021881E2
3,742940621E1;-9,329339600E1;-1,262089996E2;-2,271884003E2
3,752940694E1;-9,200019836E1;-1,273679962E2;-2,288353882E2
3,762939209E1;-9,087779999E1;-1,277217941E2;-2,297991943E2
