"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
1,825538409E2;5,235453865E1;4,900077668E0;1,637492796E0;7,158926833E0;2,505408959E2;6,103694908E0;1,508608053E0
1,835538367E2;5,235450569E1;4,899948655E0;7,297073882E-1;7,597950096E0;2,506191682E2;6,570291574E0;1,181438337E0
1,845538307E2;5,235447247E1;4,899840443E0;9,503325634E-2;7,510918746E0;2,476802628E2;6,221752097E0;1,555122340E0
1,855538266E2;5,235444920E1;4,899755496E0;8,123259787E-1;6,909536524E0;2,458665241E2;6,411818926E0;1,506858955E0
1,865538210E2;5,235443712E1;4,899679150E0;1,518758723E0;6,379828609E0;2,465234304E2;6,633817279E0;1,345901428E0
1,875538157E2;5,235441652E1;4,899597304E0;2,122326739E0;6,052924389E0;2,473210662E2;7,074415850E0;1,146783978E0
1,885538110E2;5,235439024E1;4,899538724E0;2,173433516E0;5,594457918E0;2,458994970E2;6,994713099E0;1,248011761E0
1,895538064E2;5,235436759E1;4,899468103E0;2,450263004E0;5,472351875E0;2,469998723E2;6,434922012E0;1,657742609E0
1,905538009E2;5,235433885E1;4,899358740E0;2,833110660E0;5,850608656E0;2,487859044E2;5,684225978E0;1,913772641E0
1,915537957E2;5,235430278E1;4,899238251E0;2,338211111E0;6,424824614E0;2,493673576E2;5,554553971E0;1,982489356E0
1,925537903E2;5,235426437E1;4,899118497E0;2,149722312E0;6,900590407E0;2,491474827E2;5,435529155E0;2,068709703E0
1,935537856E2;5,235423851E1;4,899012327E0;1,990191647E0;7,365616016E0;2,494804175E2;5,417751340E0;2,114830360E0
1,945537808E2;5,235420983E1;4,898865248E0;1,831142440E0;8,283825078E0;2,519029760E2;5,328899595E0;2,329670822E0
1,955537758E2;5,235416879E1;4,898721909E0;2,038953418E0;9,313121860E0;2,505820826E2;5,229321255E0;2,545336174E0
1,965537709E2;5,235413249E1;4,898547990E0;2,072128776E0;1,009829398E1;2,519862370E2;5,175382308E0;2,653291351E0
