"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
3,001405908E1;-5,144568533E-2;-6,185446382E-1;9,685547829E0
3,011405908E1;1,615155302E-2;-5,946164131E-1;1,003250694E1
3,021405908E1;1,555334684E-2;-5,700899959E-1;1,019222832E1
3,031405908E1;1,483550072E-1;-5,341976285E-1;1,020179939E1
3,041405908E1;2,219343036E-1;-5,306084156E-1;1,002293587E1
3,051405908E1;2,117647976E-1;-6,436693072E-1;9,524630547E0
3,061405908E1;2,733799815E-1;-6,550351977E-1;9,385248184E0
3,071405908E1;2,117647976E-1;-6,299105883E-1;9,390034676E0
3,081405908E1;2,291127741E-1;-6,346961856E-1;9,575477600E0
3,091405908E1;1,351944804E-1;-5,401797295E-1;9,977472305E0
3,101405908E1;1,208375469E-1;-5,407779217E-1;1,011027431E1
3,111405908E1;5,623133108E-2;-5,820540786E-1;1,005763149E1
3,121405908E1;6,460621208E-2;-6,179464459E-1;9,943374634E0
3,131405908E1;1,238285750E-1;-6,329016089E-1;9,608977318E0
3,141405908E1;1,627119333E-1;-6,305087805E-1;9,540781975E0
3,151405908E1;2,344966233E-1;-5,479564071E-1;9,544969559E0
3,161405908E1;2,524427772E-1;-5,682953596E-1;9,622735977E0
3,171405908E1;2,853440940E-1;-5,814558864E-1;9,894919395E0
3,181405908E1;2,943171859E-1;-5,916253924E-1;1,003370380E1
3,191405908E1;3,146561682E-1;-6,131607890E-1;1,014078236E1
3,201405908E1;2,853440940E-1;-6,071787477E-1;1,005882835E1
3,211405908E1;2,703889608E-1;-5,850451589E-1;9,692128181E0
3,221405908E1;2,488535494E-1;-5,766702294E-1;9,573683739E0
3,231405908E1;1,944168359E-1;-5,718846321E-1;9,418149948E0
3,241405908E1;1,501496136E-1;-5,629115105E-1;9,530014038E0
3,251405908E1;1,064806059E-1;-6,000002623E-1;9,732208252E0
3,261405908E1;8,315058798E-2;-5,904290080E-1;9,921838760E0
3,271405908E1;5,024927482E-2;-5,730810165E-1;9,943972588E0
3,281405908E1;7,178467698E-3;-5,264210105E-1;1,006361389E1
3,291405908E1;-3,948157281E-2;-4,677968323E-1;1,009711361E1
3,301405908E1;-8,973085135E-2;-5,300102234E-1;9,981060982E0
3,311405908E1;-8,135596663E-2;-5,503492355E-1;9,843474388E0
3,321405908E1;-1,734796353E-2;-6,000002623E-1;9,581459999E0
3,331405908E1;4,067798331E-2;-6,317051649E-1;9,492925644E0
3,341405908E1;1,112662554E-1;-6,358926296E-1;9,554540634E0
3,351405908E1;1,561316848E-1;-5,952146053E-1;9,585647583E0
3,361405908E1;2,554338276E-1;-5,096712112E-1;9,904491425E0
3,371405908E1;2,548356056E-1;-4,689932466E-1;1,010488987E1
3,381405908E1;2,368894368E-1;-4,749752879E-1;1,021077251E1
3,391405908E1;1,956132501E-1;-4,929214716E-1;1,013180923E1
3,401405908E1;6,340979785E-2;-6,029912829E-1;9,613164902E0
3,411405908E1;5,922235921E-2;-6,131607890E-1;9,446265221E0
3,421405908E1;6,221338734E-2;-5,850451589E-1;9,379266739E0
3,431405908E1;7,178468257E-2;-5,557330847E-1;9,489934921E0
3,441405908E1;1,196411322E-3;-5,425725579E-1;9,934401512E0
3,451405908E1;-2,213360928E-2;-5,353940725E-1;1,004327488E1
3,461405908E1;-9,092725813E-2;-5,282155871E-1;1,017966557E1
3,471405908E1;-1,058823988E-1;-5,174478889E-1;1,011206818E1
3,481405908E1;-1,016949639E-1;-4,857429862E-1;9,853045464E0
3,491405908E1;-7,178468257E-2;-4,743770957E-1;9,734002113E0
3,501405908E1;4,366901144E-2;-5,222335458E-1;9,538389206E0
3,511405908E1;1,375873089E-1;-5,928218365E-1;9,653244972E0
3,521405908E1;1,794617027E-1;-6,023930907E-1;9,763913155E0
3,531405908E1;1,716850251E-1;-6,041877270E-1;9,996614456E0
3,541405908E1;1,274178028E-1;-5,605186820E-1;1,002233791E1
3,551405908E1;3,349951655E-2;-4,671986103E-1;9,925428391E0
3,561405908E1;-1,854437590E-2;-5,294120312E-1;9,857233047E0
3,571405908E1;-1,016949583E-2;-5,653043389E-1;9,495916367E0
3,581405908E1;8,554340899E-2;-5,724828243E-1;9,437891006E0
3,591405908E1;6,759724021E-2;-5,647061467E-1;9,405587196E0
3,601405908E1;5,443671346E-2;-5,934200287E-1;9,620343208E0
3,611405908E1;-4,127619043E-2;-5,210371017E-1;1,016829967E1
3,621405908E1;-2,392822644E-3;-5,659025311E-1;1,024008465E1
3,631405908E1;2,811566554E-2;-5,395814776E-1;1,019641590E1
3,641405908E1;5,084748194E-2;-5,874379873E-1;9,863813400E0
3,651405908E1;-4,187439568E-3;-5,551348329E-1;9,509675026E0
3,661405908E1;-7,178467698E-3;-5,886343718E-1;9,382855415E0
3,671405908E1;3,589233849E-3;-5,641079545E-1;9,395418167E0
3,681405908E1;1,316052489E-2;-5,659025311E-1;9,455837250E0
3,691405908E1;1,794616925E-3;-4,689932466E-1;9,838089943E0
3,701405908E1;-2,033899166E-2;-4,588237405E-1;9,896714211E0
3,711405908E1;-1,734796353E-2;-4,624129832E-1;1,007797050E1
3,721405908E1;-3,589233849E-3;-5,060819983E-1;1,009711361E1
3,731405908E1;-1,794616925E-3;-5,365904570E-1;9,838089943E0
3,741405908E1;6,580262445E-3;-5,437689424E-1;9,658030510E0
3,751405908E1;1,854437590E-2;-6,137589812E-1;9,438488960E0
3,761405908E1;-4,845465720E-2;-5,527420044E-1;9,687342644E0
3,771405908E1;-9,631111473E-2;-4,612165689E-1;9,765707016E0
3,781405908E1;-1,034895778E-1;-4,073780477E-1;1,000379372E1
3,791405908E1;-1,118644550E-1;-3,972085714E-1;1,005284595E1
3,801405908E1;-8,374879137E-3;-4,654040039E-1;9,933204651E0
3,811405908E1;-1,016949583E-2;-4,624129832E-1;9,821938515E0
3,821405908E1;4,845465720E-2;-5,132604837E-1;9,524630547E0
3,831405908E1;9,451649338E-2;-5,114658475E-1;9,433703423E0
3,841405908E1;8,554340899E-2;-5,240281820E-1;9,571290970E0
3,851405908E1;5,084748194E-2;-4,540380836E-1;9,649057388E0
3,861405908E1;1,220339537E-1;-4,402793646E-1;9,958928108E0
3,871405908E1;1,322034448E-1;-4,211367965E-1;1,009531879E1
3,881405908E1;2,063809484E-1;-4,462614357E-1;9,929018021E0
