Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Illuminance (lx),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm),Temperature (°C)
"1,027245684E2",,,,,,,,"-1,362382650E0","-1,293348312E0","-1,292376518E-1",,,,,,,,,,,,,
"1,027403592E2",,,,,,,,,,,,,,,,,,"-3,434299850E1","2,730360031E1","4,513999939E0",,,
"1,027816349E2",,,,"-8,903361112E-2","5,925392732E-2","-1,690722227E0",,,,,,,,,,,,,,,,,
"1,027939519E2","7,438089371E0","-1,021496010E1","-2,119442701E0",,,,,,,,,,,,,,,,,,,,
"1,028055599E2",,,,,,,,,,,,,,,,,,,,,"1,011064087E3",,
"1,028104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,285546875E1"
"1,028121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,028163494E1",,,,"1,813048005E0","2,590068579E-1","6,255260110E-1",,,,,,,,,,,,,,,,,
"1,028245684E2",,,,,,,,"-1,362382650E0","-1,293348312E0","-1,292376518E-1",,,,,,,,,,,,,
"1,028403592E2",,,,,,,,,,,,,,,,,,"-3,910099792E1","1,955660057E1","5,075200081E0",,,
"1,028816349E2",,,,"-1,211651206E0","-4,615086913E-1","-2,116037130E0",,,,,,,,,,,,,,,,,
"1,028939519E2","7,122236729E0","-7,986643791E0","-2,369492531E0",,,,,,,,,,,,,,,,,,,,
"1,029055599E2",,,,,,,,,,,,,,,,,,,,,"1,010874756E3",,
"1,029104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,286328125E1"
"1,029121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,029245684E2",,,,,,,,"-1,362382650E0","-1,293348312E0","-1,292376518E-1",,,,,,,,,,,,,
"1,029395187E1","4,526622295E0","-9,165108681E0","-1,148016453E1",,,,,,,,,,,,,,,,,,,,
